Country,Population,div100
Afghanistan,38928346,389.28
Albania,2877797,28.78
Algeria,43851044,438.51
Andorra,77265,0.77
Angola,32866272,328.66
Anguilla,15003,0.15
Antigua and Barbuda,97929,0.98
Argentina,45195774,451.96
Armenia,2963243,29.63
Aruba,106766,1.07
Australia,25499884,255.0
Austria,9006398,90.06
Azerbaijan,10139177,101.39
Bahamas,393244,3.93
Bahrain,1701575,17.02
Bangladesh,164689383,1646.89
Barbados,287375,2.87
Belarus,9449323,94.49
Belgium,11589623,115.9
Belize,397628,3.98
Benin,12123200,121.23
Bermuda,62278,0.62
Bhutan,771608,7.72
Bolivia,11673021,116.73
Bosnia and Herzegovina,3280819,32.81
Botswana,2351627,23.52
Brazil,212559417,2125.59
British Virgin Islands,30231,0.3
Brunei,437479,4.37
Bulgaria,6948445,69.48
Burkina Faso,20903273,209.03
Burma,54409800,544.1
Burundi,11890784,118.91
Cabo Verde,555987,5.56
Cambodia,16718965,167.19
Cameroon,26545863,265.46
Canada,37742154,377.42
Cayman Islands,65722,0.66
Central African Republic,4829767,48.3
Chad,16425864,164.26
Channel Islands,173863,1.74
Chile,19116201,191.16
China,1439323776,14393.24
Colombia,50882891,508.83
Comoros,869601,8.7
Congo (Brazzaville),5518087,55.18
Congo (Kinshasa),89561403,895.61
Costa Rica,5094118,50.94
Cote d'Ivoire,26378274,263.78
Croatia,4105267,41.05
Cuba,11326616,113.27
Curacao,164093,1.64
Cyprus,1207359,12.07
Czechia,10708981,107.09
Denmark,5792202,57.92
Djibouti,988000,9.88
Dominica,71986,0.72
Dominican Republic,10847910,108.48
Ecuador,17643054,176.43
Egypt,102334404,1023.34
El Salvador,6486205,64.86
Equatorial Guinea,1402985,14.03
Eritrea,3546421,35.46
Estonia,1326535,13.27
Eswatini,1160164,11.6
Ethiopia,114963588,1149.64
Falkland Islands (Malvinas),3480,0.03
Faroe Islands,48863,0.49
Fiji,896445,8.96
Finland,5540720,55.41
France,65273511,652.74
French Guiana,298682,2.99
French Polynesia,280908,2.81
Gabon,2225734,22.26
Gambia,2416668,24.17
Georgia,3989167,39.89
Germany,83783942,837.84
Ghana,31072940,310.73
Gibraltar,33691,0.34
Greece,10423054,104.23
Greenland,56770,0.57
Grenada,112523,1.13
Guadeloupe,400124,4.0
Guatemala,17915568,179.16
Guinea,13132795,131.33
Guinea-Bissau,1968001,19.68
Guyana,786552,7.87
Haiti,11402528,114.03
Holy See,801,0.01
Honduras,9904607,99.05
Hungary,9660351,96.6
Iceland,341243,3.41
India,1380004385,13800.04
Indonesia,273523615,2735.24
Iran,83992949,839.93
Iraq,40222493,402.22
Ireland,4937786,49.38
Isle of Man,85033,0.85
Israel,8655535,86.56
Italy,60461826,604.62
Jamaica,2961167,29.61
Japan,126476461,1264.76
Jordan,10203134,102.03
Kazakhstan,18776707,187.77
Kenya,53771296,537.71
"Korea, South",51269185,512.69
Kuwait,4270571,42.71
Kyrgyzstan,6524195,65.24
Laos,7275560,72.76
Latvia,1886198,18.86
Lebanon,6825445,68.25
Lesotho,2142249,21.42
Liberia,5057681,50.58
Libya,6871292,68.71
Liechtenstein,38128,0.38
Lithuania,2722289,27.22
Luxembourg,625978,6.26
Madagascar,27691018,276.91
Malawi,19129952,191.3
Malaysia,32365999,323.66
Maldives,540544,5.41
Mali,20250833,202.51
Malta,441543,4.42
Marshall Islands,59190,0.59
Martinique,375265,3.75
Mauritania,4649658,46.5
Mauritius,1271768,12.72
Mayotte,272815,2.73
Mexico,128932753,1289.33
Micronesia,548914,5.49
Moldova,4033963,40.34
Monaco,39242,0.39
Mongolia,3278290,32.78
Montenegro,628066,6.28
Montserrat,4992,0.05
Morocco,36910560,369.11
Mozambique,31255435,312.55
Namibia,2540905,25.41
Nepal,29136808,291.37
Netherlands,17134872,171.35
New Caledonia,285498,2.85
New Zealand,4822233,48.22
Nicaragua,6624554,66.25
Niger,24206644,242.07
Nigeria,206139589,2061.4
North Macedonia,2083374,20.83
Norway,5421241,54.21
Oman,5106626,51.07
Pakistan,220892340,2208.92
Panama,4314767,43.15
Papua New Guinea,8947024,89.47
Paraguay,7132538,71.33
Peru,32971854,329.72
Philippines,109581078,1095.81
Poland,37846611,378.47
Portugal,10196709,101.97
Qatar,2881053,28.81
Reunion,895312,8.95
Romania,19237691,192.38
Russia,145934462,1459.34
Rwanda,12952218,129.52
Saint Barthelemy,9877,0.1
Saint Kitts and Nevis,53199,0.53
Saint Lucia,183627,1.84
Saint Pierre and Miquelon,5794,0.06
Saint Vincent and the Grenadines,110940,1.11
Samoa,198414,1.98
San Marino,33931,0.34
Sao Tome and Principe,219159,2.19
Saudi Arabia,34813871,348.14
Senegal,16743927,167.44
Serbia,8737371,87.37
Seychelles,98347,0.98
Sierra Leone,7976983,79.77
Singapore,5850342,58.5
Sint Maarten,42876,0.43
Slovakia,5459642,54.6
Slovenia,2078938,20.79
Solomon Islands,686884,6.87
Somalia,15893222,158.93
South Africa,59308690,593.09
South Sudan,11193725,111.94
Spain,46754778,467.55
Sri Lanka,21413249,214.13
St Martin,38666,0.39
Sudan,43849260,438.49
Suriname,586632,5.87
Sweden,10099265,100.99
Switzerland,8654622,86.55
Syria,17500658,175.01
Taiwan*,23816775,238.17
Tajikistan,9537645,95.38
Tanzania,59734218,597.34
Thailand,69799978,698.0
Timor-Leste,1318445,13.18
Togo,8278724,82.79
Trinidad and Tobago,1399488,13.99
Tunisia,11818619,118.19
Turkey,84339067,843.39
Turks and Caicos Islands,38717,0.39
Uganda,45741007,457.41
Ukraine,43733762,437.34
United Arab Emirates,9890402,98.9
United Kingdom,67886011,678.86
United States,331002651,3310.03
Uruguay,3473730,34.74
Uzbekistan,33469203,334.69
Vanuatu,307145,3.07
Venezuela,28435940,284.36
Vietnam,97338579,973.39
Wallis and Futuna,11239,0.11
West Bank and Gaza,5101414,51.01
Yemen,29825964,298.26
Zambia,18383955,183.84
Zimbabwe,14862924,148.63
